time_sec,distance_cm,label
98.93,56,sedentary
99.13,55,sedentary
99.33,54,sedentary
99.53,53,sedentary
99.73,54,sedentary
99.93,54,sedentary
100.13,52,sedentary
100.33,51,sedentary
100.53,52,sedentary
100.73,52,sedentary
100.93,52,sedentary
101.13,51,sedentary
101.33,50,sedentary
101.53,53,sedentary
101.73,54,sedentary
101.93,51,sedentary
102.13,50,sedentary
102.33,51,sedentary
102.53,52,sedentary
102.73,52,sedentary
102.93,51,sedentary
103.13,52,sedentary
103.33,53,sedentary
103.53,53,sedentary
103.73,54,sedentary
103.93,50,sedentary
104.13,50,sedentary
104.33,50,sedentary
104.53,50,sedentary
104.73,52,sedentary
104.93,52,sedentary
105.13,51,sedentary
105.33,50,sedentary
105.53,51,sedentary
105.73,51,sedentary
105.93,51,sedentary
106.13,51,sedentary
106.33,51,sedentary
106.53,51,sedentary
106.74,50,sedentary
106.93,50,sedentary
107.13,50,sedentary
107.33,56,sedentary
107.53,56,sedentary
107.73,50,sedentary
107.93,50,sedentary
108.13,50,sedentary
108.33,50,sedentary
108.53,50,sedentary
108.73,50,sedentary
108.93,50,sedentary
109.13,50,sedentary
109.33,50,sedentary
109.53,50,sedentary
109.73,51,sedentary
109.93,51,sedentary
110.13,54,sedentary
110.33,56,sedentary
110.53,55,sedentary
110.73,54,sedentary
110.93,54,sedentary
111.13,53,sedentary
111.33,52,sedentary
111.53,52,sedentary
111.73,53,sedentary
111.93,53,sedentary
112.13,52,sedentary
112.33,52,sedentary
112.53,52,sedentary
112.73,52,sedentary
112.93,52,sedentary
113.13,52,sedentary
113.33,54,sedentary
113.53,53,sedentary
113.73,53,sedentary
113.93,53,sedentary
114.13,53,sedentary
114.33,53,sedentary
114.54,53,sedentary
114.73,54,sedentary
114.93,53,sedentary
115.13,53,sedentary
115.33,53,sedentary
115.53,53,sedentary
115.73,53,sedentary
115.93,53,sedentary
116.13,53,sedentary
116.33,54,sedentary
116.53,53,sedentary
116.73,52,sedentary
116.93,54,sedentary
117.13,52,sedentary
117.33,51,sedentary
117.53,51,sedentary
117.73,51,sedentary
117.93,52,sedentary
118.13,52,sedentary
118.33,53,sedentary
118.53,53,sedentary
118.73,53,sedentary
118.93,53,sedentary
119.13,52,sedentary
119.33,53,sedentary
119.53,52,sedentary
119.73,51,sedentary
119.93,51,sedentary
120.13,51,sedentary
