mean_distance,std_distance,range_distance,rate_of_change,presence_duration,label
53.2,0.6,2,0.8888888888888888,2.0,sedentary
52.6,0.7999999999999999,3,0.4444444444444444,2.0,sedentary
51.6,0.66332495807108,2,0.4444444444444444,2.0,sedentary
51.2,0.4,1,0.4444444444444444,2.0,sedentary
51.2,0.4,1,0.4444444444444444,2.0,sedentary
51.5,0.5,1,0.3333333333333333,2.0,sedentary
51.9,0.3,1,0.1111111111111111,2.0,sedentary
51.8,0.4,1,0.4444444444444444,2.0,sedentary
52.2,1.32664991614216,5,1.2222222222222223,2.0,sedentary
52.4,1.2,4,0.4444444444444444,2.0,sedentary
51.8,0.4,1,0.1111111111111111,2.0,sedentary
51.8,0.4,1,0.2222222222222222,2.0,sedentary
52.2,0.4,1,0.4444444444444444,2.0,sedentary
52.6,0.66332495807108,2,0.6666666666666666,2.0,sedentary
53.5,1.02469507659596,3,0.6666666666666666,2.0,sedentary
53.8,0.7483314773547882,2,0.4444444444444444,2.0,sedentary
53.6,0.4898979485566356,1,0.2222222222222222,2.0,sedentary
53.6,0.4898979485566356,1,0.2222222222222222,2.0,sedentary
53.2,0.4,1,0.1111111111111111,2.0,sedentary
53.1,0.3,1,0.2222222222222222,2.0,sedentary
53.2,0.4,1,0.4444444444444444,2.0,sedentary
53.1,0.3,1,0.1111111111111111,2.0,sedentary
53.0,0.0,0,0.0,2.0,sedentary
53.1,0.3,1,0.2222222222222222,2.0,sedentary
52.9,0.5385164807134504,2,0.4444444444444444,2.0,sedentary
52.3,0.45825756949558394,1,0.3333333333333333,2.0,sedentary
51.6,0.4898979485566356,1,0.1111111111111111,2.0,sedentary
51.2,0.4,1,0.2222222222222222,2.0,sedentary
